Column1,Column2,Column3,label
Gates of the Moon,SEAT_OF,House Royce of the Gates of the Moon,SEAT_OF
Cider Hall,SEAT_OF,House Fossoway of Cider Hall,SEAT_OF
Starpike,SEAT_OF,House Peake of Starpike,SEAT_OF
The Dreadfort,SEAT_OF,House Bolton of the Dreadfort,SEAT_OF
Hornvale,SEAT_OF,House Brax of Hornvale,SEAT_OF
Amberly,SEAT_OF,House Rogers of Amberly,SEAT_OF
formerly Harrenhal,SEAT_OF,House Slynt of Harrenhal,SEAT_OF
Claw Isle,SEAT_OF,House Celtigar of Claw Isle,SEAT_OF
Ashford,SEAT_OF,House Ashford of Ashford,SEAT_OF
Cornfield,SEAT_OF,House Swyft of Cornfield,SEAT_OF
Whitegrove (formerly),SEAT_OF,House Peake of Starpike,SEAT_OF
Tumbleton,SEAT_OF,House Footly of Tumbleton,SEAT_OF
Rillwater Crossing,SEAT_OF,House Glenmore,SEAT_OF
Darry,SEAT_OF,House Darry of Darry,SEAT_OF
Grandview,SEAT_OF,House Grandison of Grandview,SEAT_OF
Poddingfield,SEAT_OF,House Peasebury of Poddingfield,SEAT_OF
Iron Holt,SEAT_OF,House Wynch of Iron Holt,SEAT_OF
Bandallon,SEAT_OF,House Blackbar of Bandallon,SEAT_OF
The Whispers (former),SEAT_OF,House Crabb,SEAT_OF
The Tor,SEAT_OF,House Jordayne of the Tor,SEAT_OF
Yronwood,SEAT_OF,House Yronwood of Yronwood,SEAT_OF
New Barrel,SEAT_OF,House Fossoway of New Barrel,SEAT_OF
Sealskin Point,SEAT_OF,House Farwynd of Sealskin Point,SEAT_OF
Starfall,SEAT_OF,House Dayne of Starfall,SEAT_OF
Crow's Nest,SEAT_OF,House Morrigen of Crow's Nest,SEAT_OF
Ghost Hill,SEAT_OF,House Toland of Ghost Hill,SEAT_OF
Riverrun,SEAT_OF,House Frey of Riverrun,SEAT_OF
Highgarden,SEAT_OF,House Tyrell of Highgarden,SEAT_OF
Littlesister,SEAT_OF,House Torrent of Littlesister,SEAT_OF
Atranta,SEAT_OF,House Vance of Atranta,SEAT_OF
Wayfarer's Rest,SEAT_OF,House Vance of Wayfarer's Rest,SEAT_OF
The Last Hearth,SEAT_OF,House Umber of the Last Hearth,SEAT_OF
Sisterton,SEAT_OF,House Sunderland of the Three Sisters,SEAT_OF
