Column1,Column2,Column3,label
Blackcrown,SEAT_OF,House Bulwer of Blackcrown,SEAT_OF
Scattered (formerly Winterfell),SEAT_OF,House Stark of Winterfell,SEAT_OF
The Dun Fort,SEAT_OF,House Rykker of Duskendale,SEAT_OF
Felwood,SEAT_OF,House Fell of Felwood,SEAT_OF
Gulltown,SEAT_OF,House Arryn of Gulltown,SEAT_OF
unnamed tower,SEAT_OF,House Baelish of the Fingers,SEAT_OF
the Antlers,SEAT_OF,House Buckwell of the Antlers,SEAT_OF
Raventree Hall,SEAT_OF,House Blackwood of Raventree Hall,SEAT_OF
Old Oak,SEAT_OF,House Oakheart of Old Oak,SEAT_OF
Driftwood Hall,SEAT_OF,House Stane of Driftwood Hall,SEAT_OF
Appleton,SEAT_OF,House Appleton of Appleton,SEAT_OF
Scattered (formerly Riverrun),SEAT_OF,House Tully of Riverrun,SEAT_OF
Grimston,SEAT_OF,House Grimm of Greyshield,SEAT_OF
Haystack Hall,SEAT_OF,House Errol of Haystack Hall,SEAT_OF
Gulltown,SEAT_OF,House Grafton of Gulltown,SEAT_OF
Dragonstone,SEAT_OF,House Baratheon of Dragonstone,SEAT_OF
Uplands,SEAT_OF,House Mullendore of Uplands,SEAT_OF
Lord Hewett's castle on Oakenshield,SEAT_OF,House Hewett of Oakenshield,SEAT_OF
Hoare Castle,SEAT_OF,House Hoare of Orkmont,SEAT_OF
Corpse Lake,SEAT_OF,House Goodbrother of Corpse Lake,SEAT_OF
Blacktyde,SEAT_OF,House Blacktyde of Blacktyde,SEAT_OF
Smithyton,SEAT_OF,House Shermer of Smithyton,SEAT_OF
Harrenhal,SEAT_OF,House Hoare of Orkmont,SEAT_OF
Griffin's Roost,SEAT_OF,House Connington of Griffin's Roost,SEAT_OF
Karhold,SEAT_OF,House Karstark of Karhold,SEAT_OF
Holyhall,SEAT_OF,House Graceford of Holyhall,SEAT_OF
Bronzegate,SEAT_OF,House Buckler of Bronzegate,SEAT_OF
Brownhollow,SEAT_OF,House Brune of Brownhollow,SEAT_OF
Heart's Home,SEAT_OF,House Corbray of Heart's Home,SEAT_OF
The Eyrie (summer),SEAT_OF,House Arryn of the Eyrie,SEAT_OF
Casterly Rock,SEAT_OF,House Casterly of Casterly Rock,SEAT_OF
Standfast,SEAT_OF,House Osgrey of Standfast,SEAT_OF
Kingshouse,SEAT_OF,House Magnar of Kingshouse,SEAT_OF
Bear Island,SEAT_OF,House Mormont of Bear Island,SEAT_OF
Castamere,SEAT_OF,House Reyne of Castamere,SEAT_OF
High Tide or Driftmark,SEAT_OF,House Velaryon of Driftmark,SEAT_OF
Blackpool,SEAT_OF,House Slate of Blackpool,SEAT_OF
Parchments,SEAT_OF,House Penrose of Parchments,SEAT_OF
Silverhill,SEAT_OF,House Serrett of Silverhill,SEAT_OF
Stony Shore,SEAT_OF,House Fisher of the Stony Shore,SEAT_OF
Coldmoat (formally),SEAT_OF,House Osgrey of Standfast,SEAT_OF
Harrenhal,SEAT_OF,House Strong of Harrenhal,SEAT_OF
Harlaw Hall  Harlaw,SEAT_OF,House Harlaw of Harlaw Hall,SEAT_OF
Southshield,SEAT_OF,House Serry of Southshield,SEAT_OF
Bitterbridge,SEAT_OF,House Caswell of Bitterbridge,SEAT_OF
Orkmont,SEAT_OF,House Tawney of Orkmont,SEAT_OF
Extinct,SEAT_OF,House Hook,SEAT_OF
Witch Isle,SEAT_OF,House Upcliff,SEAT_OF
House Costayne of Three Towers,LED_BY,Tommen Costayne,LED_BY
House Stackspear,LED_BY,Selmond Stackspear,LED_BY
