Column1,Column2,Column3,label
the Paps,SEAT_OF,House Elesham of the Paps,SEAT_OF
The Ring,SEAT_OF,House Roxton of the Ring,SEAT_OF
Oldstones,SEAT_OF,House Mudd of Oldstones,SEAT_OF
Castle Cerwyn,SEAT_OF,House Cerwyn of Cerwyn,SEAT_OF
Tower of Glimmering Harlaw,SEAT_OF,House Harlaw of the Tower of Glimmering,SEAT_OF
Riverspring,SEAT_OF,House Sarwyck,SEAT_OF
Harvest Hall,SEAT_OF,House Selmy of Harvest Hall,SEAT_OF
Breakstone Hill,SEAT_OF,House Flint of Breakstone Hill,SEAT_OF
Skyreach,SEAT_OF,House Fowler of Skyreach,SEAT_OF
The Arbor,SEAT_OF,House Redwyne of the Arbor,SEAT_OF
Lord Harroway's Town,SEAT_OF,House Roote of Lord Harroway's Town,SEAT_OF
Saltcliffe,SEAT_OF,House Saltcliffe of Saltcliffe,SEAT_OF
Ironrath (Telltale),SEAT_OF,House Forrester,SEAT_OF
Sarsfield,SEAT_OF,House Sarsfield of Sarsfield,SEAT_OF
Hammerhorn,SEAT_OF,House Goodbrother of Hammerhorn,SEAT_OF
Grey Garden  Harlaw,SEAT_OF,House Harlaw of Grey Garden,SEAT_OF
Lannisport,SEAT_OF,House Lannister of Lannisport,SEAT_OF
Hellholt,SEAT_OF,House Uller of Hellholt,SEAT_OF
Highgarden,SEAT_OF,House Gardener of Highgarden,SEAT_OF
Brightwater Keep (disputed by House Florent),SEAT_OF,House Tyrell of Brightwater Keep,SEAT_OF
Strongsong,SEAT_OF,House Belmore of Strongsong,SEAT_OF
Horn Hill,SEAT_OF,House Tarly of Horn Hill,SEAT_OF
Blackhaven,SEAT_OF,House Dondarrion of Blackhaven,SEAT_OF
Longtable,SEAT_OF,House Merryweather of Longtable,SEAT_OF
northern mountains,SEAT_OF,House Flint  of the mountains,SEAT_OF
Newkeep,SEAT_OF,House Hersy of Newkeep,SEAT_OF
Golden Tooth,SEAT_OF,House Lefford of the Golden Tooth,SEAT_OF
Darkdell,SEAT_OF,House Vyrwel of Darkdell,SEAT_OF
Wickenden,SEAT_OF,House Waxley of Wickenden,SEAT_OF
Wolf's Den,SEAT_OF,House Greystark of Wolf's Den,SEAT_OF
Breakwater in Sisterton,SEAT_OF,House Borrell of Sweetsister,SEAT_OF
Blackmont,SEAT_OF,House Blackmont of Blackmont,SEAT_OF
Rosby,SEAT_OF,House Rosby of Rosby,SEAT_OF
Extinct (formerly Leafy Lake),SEAT_OF,House Osgrey of Leafy Lake,SEAT_OF
Stonehelm,SEAT_OF,House Swann of Stonehelm,SEAT_OF
Three Towers,SEAT_OF,House Costayne of Three Towers,SEAT_OF
Sandstone,SEAT_OF,House Qorgyle of Sandstone,SEAT_OF
Rook's Rest,SEAT_OF,House Staunton of Rook's Rest,SEAT_OF
Saltpans,SEAT_OF,House Cox of Saltpans,SEAT_OF
formerly Coldmoat,SEAT_OF,House Webber of Coldmoat,SEAT_OF
Willow Wood,SEAT_OF,House Ryger of Willow Wood,SEAT_OF
Hornwood,SEAT_OF,House Hornwood of Hornwood,SEAT_OF
Casterly Rock,SEAT_OF,House Lannister of Casterly Rock,SEAT_OF
New Castle in White Harbor,SEAT_OF,House Manderly of White Harbor,SEAT_OF
Sharp Point,SEAT_OF,House Bar Emmon of Sharp Point,SEAT_OF
Maidenpool,SEAT_OF,House Mooton of Maidenpool,SEAT_OF
formerly Whitewalls,SEAT_OF,House Butterwell,SEAT_OF
Barrow Hall,SEAT_OF,House Dustin of Barrowton,SEAT_OF
Lemonwood,SEAT_OF,House Dalt of Lemonwood,SEAT_OF
House Mertyns of Mistwood,LED_BY,Mary Mertyns,LED_BY
House Darry of Darry,LED_BY,Mariya Darry,LED_BY
House Banefort of Banefort,LED_BY,Quenten Banefort,LED_BY
House Selmy of Harvest Hall,LED_BY,Arstan Selmy,LED_BY
House Westerling of the Crag,LED_BY,Gawen Westerling,LED_BY
House Hunter of Longbow Hall,LED_BY,Gilwood Hunter,LED_BY
House Meadows of Grassy Vale,LED_BY,Elwood Meadows,LED_BY
House Baelish of the Fingers,LED_BY,Petyr Baelish,LED_BY
House Lydden of Deep Den,LED_BY,Lewys Lydden,LED_BY
House Hightower of the Hightower,LED_BY,Leyton Hightower,LED_BY
House Mormont of Bear Island,LED_BY,Maege Mormont,LED_BY
House Goodbrother of Hammerhorn,LED_BY,Gorold Goodbrother,LED_BY
House Vaith of the Red Dunes,LED_BY,Daeron Vaith,LED_BY
